Url,StatusCode,Title,FilePath,CheckedAt
"https://www.crowcanyon.help/article/1",200,"Missing Attachments in SharePoint Tickets",".\Output\CrowCanyonKB_HTML\1 - Missing Attachments in SharePoint Tickets.html",2025-08-15T13:14:38
"https://www.crowcanyon.help/article/2",200,"Default User Profile Properties",".\Output\CrowCanyonKB_HTML\2 - Default User Profile Properties.html",2025-08-15T13:14:39
"https://www.crowcanyon.help/article/3",200,"Configure Approver functionality using NITRO Workflow Manager – Workflow 1",".\Output\CrowCanyonKB_HTML\3 - Configure Approver functionality using NITRO Workflow Manager _ Workflow 1.html",2025-08-15T13:14:40
"https://www.crowcanyon.help/article/4",200,"Troubleshooting Steps For Crow Canyon Data Sync Service",".\Output\CrowCanyonKB_HTML\4 - Troubleshooting Steps For Crow Canyon Data Sync Service.html",2025-08-15T13:14:41
"https://www.crowcanyon.help/article/6",200,"How to use Graph API for sending mails from NITRO Workflow Manager and Advanced Approval apps",".\Output\CrowCanyonKB_HTML\6 - How to use Graph API for sending mails from NITRO Workflow Manager and Advanced Approval apps.html",2025-08-15T13:14:43
"https://www.crowcanyon.help/article/7",200,"Exclude non-business days and holidays while calculating due date using Form Event Actions in NITRO Forms",".\Output\CrowCanyonKB_HTML\7 - Exclude non-business days and holidays while calculating due date using Form Event Actions in NITRO Forms.html",2025-08-15T13:14:44
"https://www.crowcanyon.help/article/9",200,"SharePoint pie chart: Label Column Error",".\Output\CrowCanyonKB_HTML\9 - SharePoint pie chart_ Label Column Error.html",2025-08-15T13:14:45
"https://www.crowcanyon.help/article/10",200,"Missing Attachments in SharePoint Tickets",".\Output\CrowCanyonKB_HTML\10 - Missing Attachments in SharePoint Tickets.html",2025-08-15T13:14:46
"https://www.crowcanyon.help/article/11",200,"Modifying Column Names in Crow Canyon’s SharePoint applications (Issue Type)",".\Output\CrowCanyonKB_HTML\11 - Modifying Column Names in Crow Canyon_s SharePoint applications _Issue Type_.html",2025-08-15T13:14:48
"https://www.crowcanyon.help/article/12",200,"Error during Site Collection Migration",".\Output\CrowCanyonKB_HTML\12 - Error during Site Collection Migration.html",2025-08-15T13:14:49
"https://www.crowcanyon.help/article/13",200,"The Email Tickets list view web part in the Display form of a Ticket shows “This view cannot be displayed because it exceeds the list view t",".\Output\CrowCanyonKB_HTML\13 - The Email Tickets list view web part in the Display form of a Ticket shows _This view cannot be displayed because it exceeds the list view t.html",2025-08-15T13:14:50
